id,text,sentiment
273,Best purchase ever as it works well so good,positive
274,So happy with the service so good,positive
275,"Just saying, Not bad, not great as packaging was good .",neutral
276,Very disappointed,negative
277,Awful quality,negative
278,Best purchase ever,positive
279,I love this product so shipping was fast loved it,positive
280,This made my day,positive
281,This made my day 😊,positive
282,Best purchase ever and customer service helped,positive
283,Highly recommend it,positive
284,Highly recommend it,positive
285,I love this product so packaging was good 😊,positive
286,I love this product so customer service helped,positive
287,So happy with the service,positive
288,"Just saying, Top quality and great value loved it",positive
289,Never buying again and the quality is great,negative
290,This ruined my day 😡,negative
291,Never buying again and the quality is great,negative
292,Would not recommend,negative
293,Would not recommend as packaging was good horrible,negative
294,Completely unsatisfied and customer service helped 👎,negative
295,I hate this so bad,negative
296,Completely unsatisfied and packaging was good awful,negative
297,One star because it works well,negative
298,Exceeded my expectations because shipping was fast,positive
299,"FYI, Awful quality",negative
300,Never buying again so packaging was good 😡,negative
301,Never buying again as packaging was good 😡,negative
302,So happy with the service,positive
303,Awful quality as customer service helped so bad,negative
304,One star,negative
305,So happy with the service great!,positive
306,Worst purchase ever as packaging was good,negative
307,Note: Completely unsatisfied and packaging was good 😡,negative
308,Exceeded my expectations because it works well,positive
309,Exceeded my expectations loved it,positive
310,Terrible experience so bad,negative
311,"Not bad, not great",neutral
312,Five stars so good,positive
313,It was okay and customer service helped so-so,neutral
314,Would not recommend 😡,negative
315,Note: Exceeded my expectations,positive
316,Completely unsatisfied awful,negative
317,"FYI, One star so bad",negative
318,Worst purchase ever so the quality is great dislike,negative
319,Top quality and great value as the quality is great 👍,positive
320,Will buy again,positive
321,Very disappointed because the quality is great,negative
322,Completely unsatisfied so packaging was good,negative
323,Completely unsatisfied terrible!,negative
324,Top quality and great value because packaging was good,positive
325,Awful quality because packaging was good awful,negative
326,Highly recommend it 👍,positive
327,"FYI, Very disappointed horrible",negative
328,I hate this,negative
329,Absolutely fantastic experience loved it,positive
330,One star so shipping was fast,negative
331,Will buy again as it works well amazing,positive
332,Best purchase ever,positive
333,Never buying again 😡,negative
334,So happy with the service and it works well,positive
335,I hate this and it works well,negative
336,I hate this and shipping was fast awful,negative
337,I hate this as the quality is great,negative
338,Top quality and great value,positive
339,Never buying again as customer service helped awful,negative
340,No strong feelings ok,neutral
341,Never buying again so shipping was fast terrible!,negative
342,Worst purchase ever so bad,negative
343,I hate this,negative
344,Best purchase ever as it works well,positive
345,Best purchase ever so packaging was good,positive
346,Top quality and great value,positive
347,This ruined my day and the quality is great,negative
348,Exceeded my expectations,positive
349,Best purchase ever,positive
350,This ruined my day as packaging was good,negative
351,Awful quality 😡,negative
352,"Just saying, Top quality and great value",positive
353,Standard ,neutral
354,Best purchase ever,positive
355,Exceeded my expectations,positive
356,This made my day so the quality is great,positive
357,"Just saying, I hate this",negative
358,I love this product,positive
359,I hate this so customer service helped so bad,negative
360,Awful quality awful,negative
361,Will buy again,positive
362,One star,negative
363,Note: Highly recommend it as customer service helped great!,positive
364,Worst purchase ever so bad,negative
365,"FYI, I love this product so shipping was fast",positive
366,Terrible experience horrible,negative
367,Average product,neutral
368,Standard .,neutral
369,Will buy again pleasant,positive
370,Standard so it works well so-so,neutral
371,One star,negative
372,Note: Terrible experience,negative
373,Absolutely fantastic experience so customer service helped loved it,positive
374,Worst purchase ever so shipping was fast awful,negative
375,Top quality and great value because it works well 😊,positive
376,Note: Would not recommend 👎,negative
377,So happy with the service and the quality is great amazing,positive
378,I love this product and packaging was good,positive
379,So happy with the service,positive
380,Worst purchase ever terrible!,negative
381,So happy with the service great!,positive
382,Absolutely fantastic experience because shipping was fast,positive
383,So happy with the service so customer service helped,positive
384,Awful quality because customer service helped so bad,negative
385,Five stars so good,positive
386,Neutral experience as shipping was fast so-so,neutral
387,"Not bad, not great",neutral
388,Note: Worst purchase ever so bad,negative
389,Would not recommend so bad,negative
390,Five stars so packaging was good amazing,positive
391,One star,negative
392,Never buying again,negative
393,This made my day and packaging was good,positive
394,"FYI, This made my day 👍",positive
395,Never buying again,negative
396,Exceeded my expectations,positive
397,I love this product 👍,positive
398,"Not bad, not great as shipping was fast",neutral
399,Absolutely fantastic experience,positive
400,Absolutely fantastic experience as it works well,positive
401,Neutral experience,neutral
402,Exceeded my expectations so the quality is great so good,positive
403,Top quality and great value great!,positive
404,Worst purchase ever and packaging was good horrible,negative
405,Best purchase ever pleasant,positive
406,It works as expected,neutral
407,Exceeded my expectations,positive
408,Top quality and great value,positive
409,Absolutely fantastic experience because packaging was good amazing,positive
410,Highly recommend it,positive
411,"Not bad, not great ",neutral
412,Completely unsatisfied as it works well 😡,negative
413,Satisfactory alright,neutral
414,Awful quality and the quality is great dislike,negative
415,Exceeded my expectations,positive
416,"Just saying, Completely unsatisfied as packaging was good",negative
417,Best purchase ever pleasant,positive
418,"FYI, I love this product pleasant",positive
419,Worst purchase ever as packaging was good,negative
420,Best purchase ever,positive
421,Completely unsatisfied so bad,negative
422,Note: Never buying again,negative
423,Neither good nor bad ,neutral
424,Worst purchase ever,negative
425,Very disappointed 👎,negative
426,Terrible experience,negative
427,Awful quality 👎,negative
428,Terrible experience so bad,negative
429,Never buying again so the quality is great dislike,negative
430,Top quality and great value so customer service helped,positive
431,Exceeded my expectations because shipping was fast great!,positive
432,Would not recommend horrible,negative
433,This made my day as the quality is great so good,positive
434,Note: Worst purchase ever 👎,negative
435,Top quality and great value so it works well loved it,positive
436,No strong feelings ,neutral
437,Terrible experience as customer service helped horrible,negative
438,Would not recommend and packaging was good,negative
439,Would not recommend,negative
440,Absolutely fantastic experience and packaging was good,positive
441,Highly recommend it and the quality is great,positive
442,I hate this,negative
443,Never buying again so customer service helped,negative
444,Worst purchase ever terrible!,negative
445,I love this product,positive
446,Completely unsatisfied,negative
447,Terrible experience and it works well 👎,negative
448,No strong feelings,neutral
449,Five stars because customer service helped 👍,positive
450,Highly recommend it so good,positive
451,Terrible experience so the quality is great 👎,negative
452,Top quality and great value so good,positive
453,I love this product,positive
454,Satisfactory,neutral
455,So happy with the service 👍,positive
456,"Just saying, Will buy again and shipping was fast loved it",positive
457,Highly recommend it and packaging was good,positive
458,I hate this and the quality is great dislike,negative
459,I love this product,positive
460,This made my day as customer service helped,positive
461,I love this product and shipping was fast great!,positive
462,Very disappointed so it works well dislike,negative
463,Top quality and great value as packaging was good,positive
464,Never buying again 👎,negative
465,Will buy again and customer service helped so good,positive
466,Very disappointed because shipping was fast 👎,negative
467,So happy with the service because packaging was good loved it,positive
468,"Just saying, Completely unsatisfied because shipping was fast awful",negative
469,Neutral experience as shipping was fast,neutral
470,So happy with the service because the quality is great,positive
471,Highly recommend it 👍,positive
472,"Just saying, Neutral experience .",neutral
473,Top quality and great value as the quality is great 😊,positive
474,Note: I love this product 😊,positive
475,Never buying again terrible!,negative
476,Terrible experience because the quality is great terrible!,negative
477,"FYI, Terrible experience horrible",negative
478,Exceeded my expectations pleasant,positive
479,I love this product amazing,positive
480,Awful quality so the quality is great 😡,negative
481,Highly recommend it because customer service helped amazing,positive
482,Five stars because packaging was good pleasant,positive
483,Five stars amazing,positive
484,"Just saying, Top quality and great value 😊",positive
485,So happy with the service so packaging was good amazing,positive
486,Average product because customer service helped,neutral
487,Worst purchase ever,negative
488,"Just saying, Not bad, not great as customer service helped",neutral
489,Top quality and great value,positive
490,"FYI, Fine for the price .",neutral
491,I hate this awful,negative
492,Highly recommend it,positive
493,Top quality and great value 👍,positive
494,Terrible experience so packaging was good dislike,negative
495,No strong feelings,neutral
496,Will buy again,positive
497,Top quality and great value so good,positive
498,I love this product,positive
499,Standard as packaging was good so-so,neutral
500,This ruined my day dislike,negative
501,Terrible experience,negative
502,I love this product because it works well pleasant,positive
503,Five stars 😊,positive
504,One star so it works well,negative
505,Worst purchase ever and it works well dislike,negative
506,This made my day so the quality is great,positive
507,Terrible experience so it works well so bad,negative
508,Would not recommend as the quality is great,negative
509,Never buying again as customer service helped 👎,negative
510,Awful quality as it works well dislike,negative
511,Awful quality and the quality is great dislike,negative
512,Terrible experience so shipping was fast so bad,negative
513,One star so customer service helped 👎,negative
514,Worst purchase ever,negative
515,Terrible experience as packaging was good horrible,negative
516,One star awful,negative
517,Standard .,neutral
518,I hate this,negative
519,Completely unsatisfied so the quality is great,negative
520,Best purchase ever so it works well,positive
521,"Just saying, Not bad, not great .",neutral
522,This made my day,positive
523,Top quality and great value,positive
524,Top quality and great value,positive
525,Standard,neutral
526,Note: One star so packaging was good,negative
527,Note: Top quality and great value,positive
528,I hate this,negative
529,So happy with the service so it works well,positive
530,Exceeded my expectations so good,positive
531,Worst purchase ever,negative
532,Never buying again,negative
533,So happy with the service pleasant,positive
534,Note: I hate this because it works well terrible!,negative
535,Very disappointed so packaging was good 👎,negative
536,Exceeded my expectations pleasant,positive
537,"Just saying, This ruined my day as it works well terrible!",negative
538,Worst purchase ever,negative
539,Five stars,positive
540,Awful quality,negative
541,So happy with the service,positive
542,Very disappointed dislike,negative
543,So happy with the service,positive
544,Will buy again,positive
545,Completely unsatisfied 👎,negative
546,So happy with the service,positive
547,Very disappointed because it works well,negative
548,This ruined my day,negative
549,Neither good nor bad .,neutral
550,Neutral experience because packaging was good,neutral
551,It works as expected,neutral
552,Would not recommend so the quality is great,negative
553,Would not recommend,negative
554,Best purchase ever pleasant,positive
555,Top quality and great value and shipping was fast so good,positive
556,Average product .,neutral
557,So happy with the service,positive
558,It works as expected,neutral
559,This ruined my day 👎,negative
560,Would not recommend and it works well 😡,negative
561,"Just saying, Highly recommend it",positive
562,Five stars,positive
563,Best purchase ever,positive
564,Never buying again and the quality is great dislike,negative
565,Note: Will buy again pleasant,positive
566,Never buying again so bad,negative
567,Exceeded my expectations because the quality is great,positive
568,Best purchase ever because the quality is great,positive
569,This made my day,positive
570,"FYI, Never buying again",negative
571,I hate this and shipping was fast 👎,negative
572,Would not recommend and customer service helped 👎,negative
573,Top quality and great value 👍,positive
574,Very disappointed and shipping was fast 😡,negative
575,Worst purchase ever so customer service helped awful,negative
576,Exceeded my expectations and it works well,positive
577,Awful quality and packaging was good so bad,negative
578,Best purchase ever,positive
579,Highly recommend it,positive
580,One star horrible,negative
581,Highly recommend it loved it,positive
582,Neither good nor bad ok,neutral
583,Exceeded my expectations so shipping was fast,positive
584,Terrible experience and the quality is great awful,negative
585,Awful quality so customer service helped,negative
586,Would not recommend terrible!,negative
587,This made my day because customer service helped,positive
588,One star dislike,negative
589,Would not recommend,negative
590,Highly recommend it great!,positive
591,Exceeded my expectations as customer service helped 😊,positive
592,Best purchase ever so packaging was good pleasant,positive
593,Exceeded my expectations great!,positive
594,I hate this,negative
595,Never buying again,negative
596,I love this product,positive
597,Completely unsatisfied,negative
598,Best purchase ever as customer service helped,positive
599,Highly recommend it,positive
600,So happy with the service pleasant,positive
601,"Just saying, Worst purchase ever terrible!",negative
602,Completely unsatisfied so shipping was fast,negative
603,Exceeded my expectations and packaging was good,positive
604,Never buying again,negative
605,Highly recommend it as packaging was good,positive
606,Worst purchase ever as customer service helped 😡,negative
607,Never buying again as packaging was good,negative
608,Very disappointed,negative
609,Would not recommend,negative
610,This made my day,positive
611,"FYI, Never buying again so it works well",negative
612,I love this product because customer service helped,positive
613,So happy with the service and customer service helped,positive
614,Never buying again,negative
615,So happy with the service great!,positive
616,It works as expected ok,neutral
617,Awful quality,negative
618,Completely unsatisfied,negative
619,"FYI, Neither good nor bad",neutral
620,Terrible experience so customer service helped,negative
621,Very disappointed so the quality is great dislike,negative
622,Completely unsatisfied horrible,negative
623,This made my day,positive
624,"FYI, Would not recommend",negative
625,This ruined my day as the quality is great,negative
626,"Just saying, Never buying again",negative
627,Best purchase ever,positive
628,"Just saying, It works as expected and shipping was fast ok",neutral
629,This ruined my day,negative
630,Best purchase ever and it works well pleasant,positive
631,Absolutely fantastic experience because shipping was fast,positive
632,One star,negative
633,Note: Exceeded my expectations 👍,positive
634,Completely unsatisfied,negative
635,One star so bad,negative
636,Top quality and great value and it works well amazing,positive
637,Very disappointed terrible!,negative
638,I hate this,negative
639,Will buy again because customer service helped,positive
640,This ruined my day horrible,negative
641,I love this product amazing,positive
642,This made my day because the quality is great amazing,positive
643,"Just saying, Highly recommend it",positive
644,Never buying again and customer service helped so bad,negative
645,It works as expected because it works well .,neutral
646,Exceeded my expectations as packaging was good amazing,positive
647,Five stars as the quality is great,positive
648,Very disappointed so bad,negative
649,Awful quality as shipping was fast,negative
650,Very disappointed awful,negative
651,Terrible experience,negative
652,Completely unsatisfied,negative
653,So happy with the service,positive
654,Note: This ruined my day as the quality is great awful,negative
655,Worst purchase ever,negative
656,Will buy again because the quality is great,positive
657,Note: Would not recommend dislike,negative
658,So happy with the service and the quality is great,positive
659,Exceeded my expectations so good,positive
660,Never buying again so bad,negative
661,Would not recommend so customer service helped,negative
662,So happy with the service because packaging was good pleasant,positive
663,Awful quality 😡,negative
664,Will buy again 😊,positive
665,Terrible experience dislike,negative
666,Awful quality,negative
667,"Just saying, Best purchase ever because the quality is great",positive
668,Highly recommend it because packaging was good,positive
669,I hate this,negative
670,Neutral experience,neutral
671,Five stars,positive
672,Note: Will buy again as shipping was fast,positive
673,Absolutely fantastic experience so the quality is great,positive
674,Standard and it works well ,neutral
675,I hate this,negative
676,This ruined my day,negative
677,Fine for the price so-so,neutral
678,Standard because customer service helped ,neutral
679,"Just saying, Top quality and great value 😊",positive
680,Completely unsatisfied,negative
681,This made my day great!,positive
682,Will buy again loved it,positive
683,Best purchase ever,positive
684,Will buy again,positive
685,One star,negative
686,Awful quality,negative
687,This ruined my day,negative
688,Five stars 👍,positive
689,Completely unsatisfied 😡,negative
690,One star so bad,negative
691,Completely unsatisfied because shipping was fast 😡,negative
692,Satisfactory and packaging was good,neutral
693,I hate this and the quality is great dislike,negative
694,Five stars 👍,positive
695,Absolutely fantastic experience,positive
696,This ruined my day awful,negative
697,One star terrible!,negative
698,Never buying again and packaging was good,negative
699,Completely unsatisfied so shipping was fast,negative
700,Awful quality,negative
701,Very disappointed because the quality is great,negative
702,Will buy again as the quality is great great!,positive
703,Terrible experience dislike,negative
704,Very disappointed because shipping was fast,negative
705,So happy with the service because the quality is great,positive
706,Terrible experience,negative
707,Never buying again,negative
708,Top quality and great value pleasant,positive
709,Best purchase ever amazing,positive
710,Never buying again as shipping was fast,negative
711,"Just saying, Terrible experience so bad",negative
712,Top quality and great value as packaging was good,positive
713,So happy with the service,positive
714,Worst purchase ever,negative
715,Exceeded my expectations because packaging was good,positive
716,Worst purchase ever,negative
717,Would not recommend terrible!,negative
718,Satisfactory alright,neutral
719,Completely unsatisfied and the quality is great horrible,negative
720,Terrible experience dislike,negative
721,Very disappointed so it works well so bad,negative
722,Top quality and great value,positive
723,This made my day so good,positive
724,Top quality and great value because the quality is great,positive
725,"FYI, Top quality and great value",positive
726,This made my day as customer service helped,positive
727,This ruined my day,negative
728,I love this product because customer service helped,positive
729,Highly recommend it and it works well,positive
730,Five stars,positive
731,Terrible experience,negative
732,So happy with the service amazing,positive
733,This made my day great!,positive
734,Very disappointed so bad,negative
735,Awful quality,negative
736,Never buying again as shipping was fast,negative
737,"FYI, This made my day 👍",positive
738,Exceeded my expectations,positive
739,Very disappointed so customer service helped,negative
740,Worst purchase ever,negative
741,Five stars 👍,positive
742,Top quality and great value,positive
743,Very disappointed,negative
744,Exceeded my expectations amazing,positive
745,Highly recommend it and the quality is great,positive
746,"FYI, Exceeded my expectations 😊",positive
747,So happy with the service loved it,positive
748,Note: This ruined my day because it works well terrible!,negative
749,So happy with the service,positive
750,Note: Worst purchase ever so the quality is great,negative
751,Terrible experience,negative
752,"Just saying, Very disappointed so bad",negative
753,Very disappointed dislike,negative
754,Worst purchase ever terrible!,negative
755,"FYI, So happy with the service 😊",positive
756,"FYI, Awful quality horrible",negative
757,Completely unsatisfied and it works well 😡,negative
758,Would not recommend awful,negative
759,Awful quality terrible!,negative
760,I love this product loved it,positive
761,Completely unsatisfied as customer service helped,negative
762,Never buying again because shipping was fast dislike,negative
763,Never buying again because it works well,negative
764,This ruined my day,negative
765,Will buy again,positive
766,Five stars amazing,positive
767,"Just saying, Highly recommend it and the quality is great 😊",positive
768,One star,negative
769,This made my day and it works well,positive
770,Terrible experience,negative
771,"Just saying, One star",negative
772,"FYI, I love this product",positive
773,Average product because packaging was good ,neutral
774,Highly recommend it,positive
775,Completely unsatisfied so shipping was fast,negative
776,Five stars,positive
777,This ruined my day,negative
778,One star so bad,negative
779,Will buy again as customer service helped,positive
780,I love this product,positive
781,"Just saying, Neither good nor bad because the quality is great",neutral
782,Never buying again,negative
783,Exceeded my expectations because customer service helped amazing,positive
784,So happy with the service so packaging was good,positive
785,"Just saying, Awful quality and packaging was good",negative
786,I love this product pleasant,positive
787,Average product so-so,neutral
788,One star and customer service helped,negative
789,Worst purchase ever so shipping was fast,negative
790,Five stars so the quality is great 👍,positive
791,Never buying again and shipping was fast,negative
792,Highly recommend it great!,positive
793,Top quality and great value,positive
794,Five stars and it works well,positive
795,This made my day and customer service helped loved it,positive
796,Fine for the price ,neutral
797,Absolutely fantastic experience and the quality is great,positive
798,Very disappointed and customer service helped 👎,negative
799,Worst purchase ever as packaging was good so bad,negative
800,I hate this and customer service helped dislike,negative
801,Very disappointed and it works well dislike,negative
802,It works as expected alright,neutral
803,Absolutely fantastic experience amazing,positive
804,Will buy again,positive
805,"Just saying, Will buy again so shipping was fast",positive
806,So happy with the service as it works well,positive
807,I hate this,negative
808,Five stars great!,positive
809,Worst purchase ever,negative
810,Top quality and great value because the quality is great,positive
811,Worst purchase ever so bad,negative
812,No strong feelings,neutral
813,"Not bad, not great and the quality is great ",neutral
814,One star so bad,negative
815,Very disappointed because it works well 👎,negative
816,Very disappointed,negative
817,I love this product so the quality is great,positive
818,This ruined my day so shipping was fast 😡,negative
819,I love this product,positive
820,Worst purchase ever terrible!,negative
821,This ruined my day,negative
822,Completely unsatisfied dislike,negative
823,Standard,neutral
824,Never buying again so it works well,negative
825,I hate this,negative
826,So happy with the service,positive
827,"Just saying, Highly recommend it",positive
828,Fine for the price so-so,neutral
829,Never buying again so customer service helped 😡,negative
830,Worst purchase ever dislike,negative
831,"Not bad, not great .",neutral
832,Terrible experience horrible,negative
833,Would not recommend so it works well,negative
834,Note: Would not recommend because the quality is great,negative
835,Exceeded my expectations because it works well,positive
836,Note: So happy with the service so shipping was fast,positive
837,"Just saying, Top quality and great value great!",positive
838,Will buy again because it works well 👍,positive
839,I love this product,positive
840,It was okay because the quality is great,neutral
841,Completely unsatisfied,negative
842,This ruined my day dislike,negative
843,Note: Terrible experience,negative
844,So happy with the service so packaging was good 😊,positive
845,Will buy again so good,positive
846,Very disappointed,negative
847,Completely unsatisfied because packaging was good,negative
848,Awful quality,negative
849,Best purchase ever and shipping was fast,positive
850,Completely unsatisfied dislike,negative
851,Worst purchase ever because customer service helped 👎,negative
852,This ruined my day dislike,negative
853,Completely unsatisfied,negative
854,Awful quality,negative
855,Awful quality,negative
856,One star awful,negative
857,This ruined my day awful,negative
858,This ruined my day because customer service helped,negative
859,Will buy again,positive
